id,image_name,class,label,split,image_path
798fbb1a-6b41-4456-aaec-5529552bc2dd,90.png,Rayleigh,12,train,train\Rayleigh\90.png
3b137c62-fc85-4cd1-a22b-7d715665bd00,198.jpg,Jinbei,6,train,train\Jinbei\198.jpg
de9aca01-b137-44b1-a53e-73e0806ecb4f,78.jpg,Sanji,14,train,train\Sanji\78.jpg
affe247e-b769-40dc-8ce8-2ce4e09703d7,192.jpg,Robin,13,train,train\Robin\192.jpg
ea7238dc-c470-48ca-958b-7c8268e41667,31.png,Mihawk,10,train,train\Mihawk\31.png
55219716-2907-45de-8e72-a719e348e21d,111.png,Akainu,1,train,train\Akainu\111.png
c303a4f4-c44b-49c8-bee8-4d9d5f1645e6,106.jpeg,Sanji,14,train,train\Sanji\106.jpeg
caa016ce-6977-4ebf-88e8-1736f5a40a37,216.png,Brook,2,train,train\Brook\216.png
869c7d65-2ca4-400e-80a6-bf2ac2dff534,173.png,Shanks,15,train,train\Shanks\173.png
2bd3a394-4768-46bc-aa37-9c9cb9833878,31.jpg,Sanji,14,train,train\Sanji\31.jpg
b3738e64-7494-4013-88d6-ec9a326336e1,12.png,Law,8,train,train\Law\12.png
8580b7b7-75a7-436c-92ca-d67832dd4f95,27.png,Kurohige,7,train,train\Kurohige\27.png
9ede6c6e-752b-4a53-b342-fdf1c52bd058,152.png,Franky,5,train,train\Franky\152.png
07cffec5-3c41-4879-bf95-c7797ac4cce3,69.png,Franky,5,train,train\Franky\69.png
16971f79-081a-40e0-81ed-ea6c0b8f9a52,24.png,Shanks,15,train,train\Shanks\24.png
033f603e-9b00-4a45-a040-cc7085b87222,95.png,Akainu,1,train,train\Akainu\95.png
a1eae19b-d2fe-40a5-9fb0-5959b0839ac1,57.jpg,Zoro,17,train,train\Zoro\57.jpg
835fd716-cb54-4fd1-b39e-e31519941572,70.jpg,Sanji,14,train,train\Sanji\70.jpg
b4f9c48d-5283-4347-96ec-927dcdb705b8,57.png,Chopper,3,train,train\Chopper\57.png
78a1ea8b-c6df-4d5f-a425-d3ed9fd6a2ea,71.png,Shanks,15,train,train\Shanks\71.png
0a13b56c-5461-4da4-b5e4-7762120e711d,65.png,Mihawk,10,train,train\Mihawk\65.png
7587523a-6417-4542-8506-4c4e150da493,196.png,Crocodile,4,train,train\Crocodile\196.png
12867075-44f0-4d07-93b7-e20d428cfa09,5.jpg,Zoro,17,train,train\Zoro\5.jpg
15e8190c-91b9-4b56-90d7-9baa2f670ded,198.png,Nami,11,train,train\Nami\198.png
15777c3a-9389-4550-af7a-9e4ecb596e93,179.jpg,Zoro,17,train,train\Zoro\179.jpg
bc521d3e-d4f7-4ad8-8fd2-667526aed0d6,41.png,Nami,11,train,train\Nami\41.png
0ea3e8c5-ece8-48ca-b724-c5ee6c3e8f44,125.png,Akainu,1,train,train\Akainu\125.png
6cd47756-7612-40a4-a50d-f28ae0e9a0bd,1.jpg,Luffy,9,train,train\Luffy\1.jpg
76e15f0d-b4d8-413c-9ad0-1b926f3193c2,157.png,Nami,11,train,train\Nami\157.png
55bfcc38-2648-45bf-ac45-e76c65e2b911,203.png,Rayleigh,12,train,train\Rayleigh\203.png
40c7d0d1-2716-4b97-ac08-35cc6f97431f,141.jpg,Sanji,14,train,train\Sanji\141.jpg
0cf13307-74de-46ad-9ce3-c1952616fd1d,125.png,Chopper,3,train,train\Chopper\125.png
f99db5b7-b657-400a-8c90-f8959e0cac97,115.png,Brook,2,train,train\Brook\115.png
fe1ce451-8351-4b76-96bf-f7a09b6898fe,184.jpg,Robin,13,train,train\Robin\184.jpg
fd609dfb-9f39-4ad9-8654-b68360929f94,50.png,Shanks,15,train,train\Shanks\50.png
6f06bba0-062d-4ed4-928d-bf5b292b9f83,39.png,Shanks,15,train,train\Shanks\39.png
52b74b90-f44e-4d5b-9e21-b107bf95a20c,135.png,Kurohige,7,train,train\Kurohige\135.png
3efa1e0f-2d74-4e4d-8d44-5e71a9a93e62,53.png,Kurohige,7,train,train\Kurohige\53.png
80223cbc-129f-4a9e-a932-531f49976529,84.png,Mihawk,10,train,train\Mihawk\84.png
b24f2357-88e0-402a-b8b2-866dc1621750,176.png,Kurohige,7,train,train\Kurohige\176.png
4fb95883-fc8f-41c8-b1cb-84a4a9ffa5de,151.jpg,Robin,13,train,train\Robin\151.jpg
18290bba-222b-4ecd-91ba-16c152d9b65b,112.jpg,Robin,13,train,train\Robin\112.jpg
ff6b6966-b95c-4197-873b-d7a4448d629f,191.jpg,Ace,0,train,train\Ace\191.jpg
a09a5396-7d99-42c0-9497-9602b5a8cd00,207.jpg,Robin,13,train,train\Robin\207.jpg
d70951b3-fbc8-4345-a3e0-142b544a8a6b,163.png,Brook,2,train,train\Brook\163.png
9b02dffe-51c6-42bc-a950-52ee3dc46549,13.jpg,Zoro,17,train,train\Zoro\13.jpg
4875fdaa-74c1-4465-b226-c26035165522,95.png,Kurohige,7,train,train\Kurohige\95.png
d5f8ef94-0ab5-4853-907b-b2d642a497fe,33.png,Franky,5,train,train\Franky\33.png
f0e33f2e-ee56-4d31-a19f-1265b1336dc4,19.png,Brook,2,train,train\Brook\19.png
c61e6bfd-cc8e-4c90-943f-fe7589b26e37,19.png,Chopper,3,train,train\Chopper\19.png
74a36ee6-245f-4955-8baa-7ca801d91269,20.png,Rayleigh,12,train,train\Rayleigh\20.png
277b81d0-5927-4cd2-906b-c164a4bac8c0,55.png,Akainu,1,train,train\Akainu\55.png
b87c55ff-6359-4775-9978-58f283c7edbd,17.jpeg,Ace,0,train,train\Ace\17.jpeg
46387c47-7f7d-4baf-8942-4c2c44f3573e,28.png,Jinbei,6,train,train\Jinbei\28.png
833fbcb7-1f21-4bfb-9c47-b8b18c136a65,183.jpg,Robin,13,train,train\Robin\183.jpg
4d774ae3-ace7-483d-91e1-b186682d025a,123.png,Franky,5,train,train\Franky\123.png
dcba118e-8cfc-4f07-8e1f-3f2751807447,221.png,Brook,2,train,train\Brook\221.png
fc017b01-b4c8-4cea-835f-a8c7aaf162f3,86.jpg,Luffy,9,train,train\Luffy\86.jpg
a7150ee1-cc46-415d-9dc3-d9fbbe202f1e,177.png,Chopper,3,train,train\Chopper\177.png
6a173b21-aac1-460b-97c8-43db33ccd4ef,182.png,Franky,5,train,train\Franky\182.png
fdb72740-f3f5-4351-a948-a9c18c48fa29,181.png,Usopp,16,train,train\Usopp\181.png
f8239b99-2e4b-4f6a-92c3-53c0bf76c4ff,25.png,Crocodile,4,train,train\Crocodile\25.png
97e8990f-c3b6-45c9-9ca4-18c0eae531c7,40.png,Shanks,15,train,train\Shanks\40.png
70eb75de-4073-4a76-b8d0-02135486c821,83.png,Chopper,3,train,train\Chopper\83.png
dbde48d1-c203-4f5f-be3a-1fe734ceb3cf,17.png,Crocodile,4,train,train\Crocodile\17.png
86b9d62e-b1c8-4a70-b943-3053e611a8ed,115.png,Chopper,3,train,train\Chopper\115.png
9fe94eab-798f-48f2-a9ba-cdcec68fc636,194.jpeg,Robin,13,train,train\Robin\194.jpeg
1864a1c7-d03f-4fa1-bd09-4765f558c76a,104.png,Chopper,3,train,train\Chopper\104.png
a06ce64c-b21a-4a4b-b749-2bf3732ea47c,162.png,Nami,11,train,train\Nami\162.png
eaaeb90a-454a-441a-9845-8d778cd5cebe,140.png,Kurohige,7,train,train\Kurohige\140.png
f2141cf2-8671-46b8-ab68-1a1cb9a6bc70,41.png,Franky,5,train,train\Franky\41.png
9e456776-5780-416f-87cd-7cfdfa9794cf,66.jpg,Luffy,9,train,train\Luffy\66.jpg
cfd1df22-22f7-4ee6-94d0-2d0e791b72c3,210.png,Brook,2,train,train\Brook\210.png
627607a1-8373-4baa-b8ec-f36c1467d2aa,125.png,Usopp,16,train,train\Usopp\125.png
355494d5-64c9-40de-aa86-a0339aaec580,75.png,Law,8,train,train\Law\75.png
7c3ad9e6-00bc-4463-b7ac-52a4237912e8,192.png,Brook,2,train,train\Brook\192.png
